feature,importance
pair_total_watch_time,0.3628084
pair_watch_share_user,0.21015565
pair_watch_share_streamer,0.20966558
pair_past_sessions,0.098244645
pair_recency,0.015424687
time_cos_week,0.012015512
streamer_repeat_audience_ratio,0.010489315
user_past_sessions,0.009079984
time_sin_week,0.008839197
streamer_total_watch_time,0.008646276
user_recency,0.0075784684
streamer_avg_session_duration,0.006409652
streamer_unique_users,0.0059434036
streamer_recency,0.005823365
pair_avg_session_duration,0.004770523
streamer_past_sessions,0.0045065153
user_repeat_ratio,0.0044931946
user_unique_streamers,0.0037180698
time_cos_day,0.0033416683
user_total_watch_time,0.0032878045
time_sin_day,0.002419898
user_avg_session_duration,0.0023382478
user_has_history,0.0
pair_has_history,0.0
streamer_has_history,0.0
